industryID,inspectiondate,nameOfInspectionOfficer,inspectionStatus,fileID,infileID,applicationID,scheduledDate,reason
250,2014-07-15,"M.G.L.Fernando /Achala Kohona","Recommended for EPL Renewal",NULL,140,250,NULL,NULL
253,2014-05-30,"ඩබ්ලිව්. ඩී.වර්ණකුලසූරිය/ශානිකා අධිකාරම්",,NULL,141,253,NULL,NULL
254,2014-02-20,"M.G.L.Fernando / D.Valantina","Renewal of EPL recommended after obtaining waste water analytical report from CEA Lab.",NULL,142,254,NULL,NULL
257,2011-06-03,ඒම්.ජී.ඒල්.ප්‍රනාන්දු/ඩබ්ලිවි.ඩී.වර්ණකුලසූරිය,"අපජල විශ්ෙල්ෂණ වාරථාව කැදනක ලදි",NULL,143,258,NULL,NULL
261,2014-08-26,"M.G.L.Fernando /D.I.W. Kodithuwakku","Recommended for EPL Renewal",NULL,144,261,NULL,NULL
265,2013-12-13,"M.G.L. Fernando / W. Warnakulasooriya","Recommended EPL Renewal",NULL,145,264,NULL,NULL
264,2014-04-28,"M.G.L.Fernando /U.N.Chandralani","Before consider the issuence of EPl it is better obtain waste water anlytical report.",NULL,146,265,NULL,NULL
266,2014-09-12,"ඩබ්ලිව්. ඩී. වර්ණකුලසූරිය","නිර් ෙද්ශ කරන ලදි+",NULL,147,266,NULL,NULL
270,2013-02-08,"N.A.Jayawardana/ U.W.N.Chandralani","Recommended for EPL Renewal",NULL,148,271,NULL,NULL
271,2014-05-07,M.G.L.Fernando/W.D.Warnakulasuriya,recommended,NULL,149,272,NULL,NULL
273,2010-01-25,"N.R.Dewanarayana / A.C.L. Jayasinghe","Recommended EPL",NULL,150,274,NULL,NULL
274,2013-12-04,ඒම්.ජී.ඒල්.ප්‍රනාන්දු,"නිර්ෙද්ශ කරන ලදි",NULL,151,275,NULL,NULL
275,2013-12-06,"M.G.L.Fernando /W.Warnakulasooriya","Renewal of EPL can be recommended after constructing proper silt trap units.",NULL,152,276,NULL,NULL
278,2014-01-22,ඩබ්ලිව්.ඩී.වර්ණකුලසූරිය,"නිර් ෙද්ශ කරන ලදි",NULL,153,279,NULL,NULL
279,2011-04-19,"M.G.L. Fernando / W.D. Wrnakulasuriya","Recommended EPL",NULL,154,280,NULL,NULL
281,2012-12-26,ඒම්.ජි.ඒල්.ප්‍රනාන්දු/ඩබ්.ඩී.වර්ණකුලසූරිය,,NULL,155,282,NULL,NULL
282,2014-01-30,"M.G.L.Fernando / D.Valantina","Recommended for EPL Renewal subject to tha Conditions",NULL,156,283,NULL,NULL
283,2013-11-29,"M.G.L.Fernando / W.D.Warnakulasuriya",recommended,NULL,157,284,NULL,NULL
284,2014-06-24,"M.G.L.Fernando /D.I.W. Kodithuwakku","Recommended for EPL Renewal",NULL,158,285,NULL,NULL
287,2014-06-05,"M.G.L.Fernando /D.I.W. Kodithuwakku","Recommended for EPL Renewal",NULL,159,286,NULL,NULL
285,2013-12-04,M.G.L.Fernando/W.D.Warnakulsuriya,recommended,NULL,160,288,NULL,NULL
289,2014-07-15,"M.G.L.Fernando /Achala Kohona","Recommended for EPL Renewal",NULL,161,290,NULL,NULL
292,2014-07-15,"M.G.L.Fernando /Achala Kohona","Recommended for EPL Renewal",NULL,162,293,NULL,NULL
295,2014-04-30,"M.G.L.Fernando /D.I.W. Kodithuwakku","Recommended for EPL Renewal",NULL,163,296,NULL,NULL
297,2013-11-07,"ඒම්.ජී.ඒල්.ප්‍රනාන්දු/ ඩබ්.ඩී.වර්ණකුලසූරිය","නිර් ෙද්ශ කරන ලදි",NULL,164,298,NULL,NULL
299,2014-03-19,"M.G.L.Fernando /W.Warnakulasooriya","Recommended for EPL Renewal",NULL,165,300,NULL,NULL
302,2014-07-15,"M.G.L.Fernando /Achala Kohona","Recommended for EPL Renewal",NULL,166,302,NULL,NULL
301,2014-03-28,"ඩබ්.ඩී.වර්ණකුලසූරිය/මාධවී ෙපෙර්රා","නිර්ෙද්ශ කරන ලදි",NULL,167,303,NULL,NULL
307,2014-01-30,"M.G.L.Fernando / D.Valantina","Renewal of EPL recommended subject to the Conditions",NULL,168,305,NULL,NULL
308,2014-08-28,"ඩබ්. ඩී. වර්ණකුලසූරිය"," අප ජල විශ් ෙල්ෂණ වාර්ථා කැදවන ලදි",NULL,169,308,NULL,NULL
310,2014-07-09,"M.G.L.Fernando /S.Adikaram","Beter to obtain waste water analytical report .",NULL,170,311,NULL,NULL
314,2014-07-14,ඩබ්.ඩී.වර්ණකුලසූරිය,"නිර්ෙද්ශ කරන ලදි",NULL,171,315,NULL,NULL
320,2014-09-17,"M.G.L.Fernando /W.Warnakulasooriya","Recommended for EPL Renewal",NULL,172,318,NULL,NULL
322,2014-09-01,"ඩබ්ලිවි.ඩි.වර්ණකුලසූරිය/ශානිකා අදිකාරම්","නිර්ෙද්ශ කරන ලදි",NULL,173,319,NULL,NULL
323,2014-08-21,"M.G.L.Fernando /Anusha Nilanthi","Recommended for EPL Renewal",NULL,174,320,NULL,NULL
324,2014-08-21,"ඩබ්ලිව්.ඩී.වර්ණකුලසූරිය/ෙනලුම් සමරවික්‍රම","නිර්ෙද්ශ කරන ලදි",NULL,175,321,NULL,NULL
326,2014-07-03,"M.G.L.Fernando /W.Warnakulasooriya","Recommended for EPL Renewal",NULL,176,323,NULL,NULL
330,2014-09-06,"M.G.L.Fernando /Nelum Samarawickrama.","Recommended for EPL Renewal",NULL,177,327,NULL,NULL
329,2014-08-28,ඩබ්ලිව්.ඩී.වර්ණකුලසූරිය,,NULL,178,326,NULL,NULL
334,2014-04-23,W.D.Warnakulasuriya/S.C.Adikaram,Recomended,NULL,179,330,NULL,NULL
343,2014-08-11,"M.G.L.Fernando /S.Adikaram","Recommended for EPL Renewal",NULL,180,339,NULL,NULL
