industryID,reminderType,dueDate,dueStatus,recievedDate,applicationID,nxtRemDate,officeID
413,1,2016-03-10,0,NULL,411,NULL,6
414,1,2015-11-11,0,NULL,412,NULL,6
415,1,2015-06-28,0,NULL,413,NULL,NULL
418,1,2015-09-01,0,NULL,22768,NULL,6
420,1,2015-08-06,0,NULL,418,NULL,6
421,1,2016-06-27,0,NULL,24096,NULL,6
422,1,2014-12-25,0,NULL,420,NULL,NULL
423,1,2016-07-01,0,NULL,24089,NULL,6
427,1,2016-04-30,0,NULL,424,NULL,6
429,1,2015-11-25,0,NULL,426,NULL,6
430,1,2016-02-19,1,NULL,23661,2016-06-05,6
432,1,2014-04-08,0,NULL,430,NULL,NULL
434,1,2015-08-11,0,NULL,432,NULL,6
435,1,2015-06-02,0,NULL,433,NULL,NULL
436,1,2014-08-03,0,NULL,434,NULL,NULL
438,1,2014-12-09,0,NULL,436,NULL,NULL
439,1,2014-12-05,0,NULL,437,NULL,NULL
440,1,2016-07-01,0,NULL,24176,NULL,6
441,1,2016-06-24,0,NULL,24280,NULL,6
442,1,2015-04-30,0,NULL,23032,NULL,6
443,1,2016-03-21,0,NULL,23499,NULL,6
444,1,2016-05-08,0,NULL,24062,NULL,6
451,1,2016-10-28,0,NULL,24262,NULL,6
452,1,2016-07-22,0,NULL,24150,NULL,6
453,1,2015-10-16,0,NULL,24299,NULL,6
454,1,2014-02-18,0,NULL,446,NULL,NULL
456,1,2016-05-13,0,NULL,23666,NULL,6
457,1,2015-05-16,0,NULL,449,NULL,NULL
458,1,2014-09-04,0,NULL,450,NULL,NULL
459,1,2015-05-20,0,NULL,451,NULL,NULL
460,1,2016-01-30,0,NULL,23058,NULL,6
461,1,2014-12-30,0,NULL,453,NULL,NULL
462,1,2016-05-31,0,NULL,23667,NULL,6
463,1,2015-05-26,0,NULL,455,NULL,NULL
464,1,2014-02-11,0,NULL,456,NULL,NULL
465,1,2014-07-02,0,NULL,459,NULL,NULL
467,1,2015-05-20,0,NULL,461,NULL,NULL
468,1,2014-04-08,0,NULL,462,NULL,NULL
469,1,2015-10-18,0,NULL,23153,NULL,6
470,1,2015-03-25,0,NULL,464,NULL,NULL
471,1,2014-10-30,0,NULL,465,NULL,NULL
472,1,2015-03-25,0,NULL,466,NULL,NULL
473,1,2012-06-23,0,NULL,467,NULL,NULL
474,1,2015-03-24,0,NULL,468,NULL,NULL
475,1,2015-03-25,0,NULL,469,NULL,NULL
476,1,2015-04-21,0,NULL,470,NULL,NULL
477,1,2015-03-12,0,NULL,471,NULL,NULL
478,1,2015-03-17,0,NULL,472,NULL,NULL
479,1,2015-03-17,0,NULL,473,NULL,NULL
480,1,2015-02-14,0,NULL,474,NULL,NULL
482,1,2015-11-09,0,NULL,23154,NULL,6
483,1,2015-07-12,0,NULL,477,NULL,6
484,1,2015-11-15,0,NULL,22661,NULL,6
486,1,2015-08-31,0,NULL,22662,NULL,6
488,1,2016-09-09,0,NULL,24276,NULL,6
489,1,2016-03-11,0,NULL,23240,NULL,6
493,1,2015-03-24,0,NULL,487,NULL,NULL
494,1,2015-03-17,0,NULL,488,NULL,NULL
495,1,2015-02-14,0,NULL,489,NULL,NULL
