productID,industryID,procduct_byproducts_name,qty,productstatus
479,18584,Rock posphate,45000,Product
480,18584,Super grade rock posphate,7000,Product
481,16460,Complete Vehicle,5 nos/month,Product
482,18123,chicken,,Product
483,4069,Enamel Paints,100000 l/month,Product
484,3307,No,,Product
485,18639,Growing bag,6 MT,Product
486,18587,Rice,8500,Product
487,18587,Broken rice,,By Product
488,18418,"Metal 3/4"", 1""",5,Product
489,18418,"Metal 1"" ",5,Product
490,18418,"Metal 1""",5,Product
491,18418,Metal 1,5,Product
492,24725,Dolamite,,Product
493,24724,ABC,,Product
494,24724,Quarry dust,,By Product
495,1068,Food items & drinks,,Product
496,1068,Dry rations,,By Product
497,10349,Tiles,20,Product
498,4145,PVC Compound,25 Tons,Product
499,17844, Metal dust,,Product
500,17844,Metal chips,,Product
501,2659,Spring Blades,,Product
502,18589,filler,100,Product
503,18589,emulsion,100,Product
504,18589,weather sealed,100,Product
505,4080,A.P.W. Hooks,750000,Product
506,4080,Litro Gas Cap,250000,Product
507,24727,Textile Items,,Product
508,4080,B/lotion Cap,100000,Product
509,18514,Rice,5000 kg,Product
510,4134,Polythene Pellets,8000 kg/month,Product
511,24729,Tea Tags,,Product
512,1866,6x9 Rubbles ,1000 m3,Product
513,24729,Envelopes,,Product
514,24729,Paper Bags,,Product
515,4060,Polythene bags,1000 kg,Product
516,4056,Copper Conductors,20 Tons/month,Product
517,2422,"6""x4"" and 6""x9"" bouldders",,Product
518,2147483647,stone,210 cube,Product
519,2147483647,3/4 '' stone,75,By Product
520,2147483647,2 '' cube,25,By Product
521,4081,PVC Pipes & Fittings,270 Tons/month,Product
522,1865,Panel board,,Product
523,17849,'6X9' Granaite,,Product
524,1865,Light fitting,,Product
525,4123,Plastic materials,,Product
526,10549,Bisicut,30000,Product
527,10549,Cake,800,Product
528,24733,"ABC, aggregates","ABC-100 Cubes, Aggregate- 25 cubes",Product
529,1864,Shoe Soles,30000,Product
530,3289,Natural Base Air Fresherner,20000l,Product
531,3289,Detergent NDB (Coustic free),5000l,Product
532,4073,Synthetic Camphor Tablets,750 kg/day,Product
533,4073,Napthalene Balls,450 kg/day,Product
534,2033,Boulders,,Product
535,4136,Fabric,30 m/day,Product
536,1076,Hospitality provider,,Product
537,4136,Lab dips,30/day,Product
538,4153,Corrugated Boxes,20 tons/month,Product
539,10709,Granite,,Product
540,3311,"Grocery bags (5*7, 7*10, 9*12)",200kg,Product
541,24742,Retraed Tyers,2500,Product
542,1867,plastic pettles,10MT per month,Product
543,4128,Polythene bags,400000 kg/day,Product
544,24743,Bead Wire,9000-13000,Product
545,2147483647,Goat,49,Product
546,24743,Airbags,84,Product
547,17923,Chicken,3000,Product
548,17923,Poultry fertilizer,,By Product
549,1965,Ladies wear,,Product
550,1965,Men's T-shirts,,Product
551,1965,Children wear,,Product
552,1965,Jogging suits,,Product
553,24744,UDPE Polythene bags ,1200 - 1300 kg/day,Product
554,24744,HDPE Polythene bags,30000 - 500000 bags/day,Product
555,17989,6’*9’ Granite,200 cubes,Product
556,4082,Brassiers,,Product
557,1873,Printing Ink,360MT,Product
558,3262,Tables,,Product
559,3262,Racks,,Product
560,3262,Cupboards,,Product
561,3262,Ceiling,,Product
562,10327,Dolomite 6'' *9'',15 cube,Product
563,10707,kalu gal,7.5,Product
564,4144,Shopping Bags,1000 kg/day,Product
565,2045,PVC water pipes,100MT per month,Product
566,4106,Textile Hangers,,Product
567,10331,Mica,3 t,Product
568,24747,22mm  metal,,Product
569,24747,19mm  metal,,Product
570,24747,10mm  metal,,Product
571,24747,4mm metal,,Product
572,4118,Office Furnitures,5000 units,Product
573,3211,Eggs,5000,Product
574,3211,Poultry fertilizer,10 bags,By Product
575,24749,Broilers,2500,Product
576,3206,Shopping bags,,Product
577,3206,Grocery bags,,Product
578,24756,LLDPE Bag,1200Kg- 1300Kg,Product
579,24756,HDPE Bag,30000- 50000 Bag,Product
580,3256,Polymer bottles,,Product
581,3256,Polymer lids,,Product
582,10517,Spices,2000,Product
583,2147483647,stone 6'-4'',,Product
584,2147483647,stone 6-4'',525 cube,By Product
585,10489,Rice,100000,Product
586,10489,Rice flour,30000,By Product
587,18997,,,Product
588,18997,,,Product
589,18997,,,Product
590,16461,Paddy,2500 kg/day,Product
591,16461,Bran,300 kg/day,By Product
592,16461,Broeken Rice,200 kg/day,By Product
593,15351,Asphalt,250 T/d,Product
594,2147483647,Dolamite,20 t,Product
595,2147483647,Dolomite,20 t,Product
596,2147483647,Pelspa,40 T,Product
597,2147483647,quartz,15,Product
598,2147483647,Dolamite,8 t,By Product
599,24766,Granite,6x4,Product
600,10475,Cloth,150000m,Product
601,19215,Chile powder,1000kg,Product
602,16462,Rice,2500 kg/day,Product
603,16462,Bran,300 kg/day,By Product
604,16462,Broken Rice,200 kg/day,By Product
605,24767,soya oil,35 ton,Product
606,24767,Soya oil cake,10 ton,Product
607,24768,Granite,"1/4, 3/4, 11/2",Product
608,24768,Metal dust,,Product
609,16463,Rice,2750 kg/day,Product
610,16463,Bran,350 kg/day,By Product
611,16463,Broken Rice,200 kg/day,By Product
612,18991,metals,,Product
613,17941,Granite,,Product
614,10482,Lime stone,7,Product
615,18103,Granite,20 cubes,Product
616,10492,Metal Aggregate,800,Product
617,10481,Aggrygates,150t,Product
618,18048,,,Product
619,18028,Rice,,Product
620,10479,Aggregates,,Product
621,10479,Chips,,By Product
622,10480,Ready mix concrete,210,Product
623,16566,Rice,4300kg/day,Product
624,1869,Poly Bags,3000kg per day,Product
625,16464,Rice,2400 kg/day,Product
626,16464,Bran,350 kg/day,By Product
627,16464,Broken Rice,100 kg/day,By Product
628,16647,Window,10,By Product
629,16647,Other iron works,70*'2',By Product
630,1896,Water based flexographic printing inks,12MT per anum,Product
631,16465,Rice,2500 kg/day,Product
632,16465,Bran,350 kg/day,By Product
633,16465,Broken Rice,200 kg/day,By Product
634,3292,Crates,3500,Product
635,3292,Buckets,4500,Product
636,3292,Ice cream containers,2000,Product
637,3292,20ltr cans,700,Product
638,3292,1ltr/4ltr cans,4000,Product
639,3292,"Agricultural pipes 2""coils",30,Product
640,24778,Food & beverages,,Product
641,3292,"Agricultural pipes 1""coils",40,Product
642,3292,PET products,15000,Product
643,24779,Main switch board,,Product
