industryID,fualtype,purpose,fuelconsumption,fid
6141,Diesel,"Standby Generator",NULL,599
16386,Diesel,"operation of mechineries",120,600
1072,"LP Gas",Cooking,30,601
17042,Deisel,"Machine operate",NULL,602
24963,kerosene,"washing vehicals",3,603
3552,"L.P. gas","for furnace",20,604
5816,,,NULL,605
1292,Gas,"For Cookers",0.2,606
16588,Diesal,"Operating generator.",110,607
1246,"LP Gas",Cooking,NULL,608
10240,Kerosene,washing,5,609
2073,Diesel,"to fire the furnace and heat the annealing oven  ",600,610
16416,"fire wood","Baking ",100,611
6337,Diesel,"Standby Generator",NULL,612
10146,"Diesel ","For air pressure ",NULL,613
12024,"Paddy husk",Boiler,1200,614
6337,,,NULL,615
1270,Gas,Welding,NULL,616
5131,"LP Gas",Cooking,3.3,617
2892,No,,NULL,618
6169,diesel,"standby generator",NULL,619
16418,Diesel,"For drilling ",10,620
4624,"Furnance oil",Combustion,1500,621
3198,Diesel,boiler,35,622
16761,"kerosene ","operating  of Generator ",3,623
17221,Diesel,"For Machines",5,624
16385,Diesel,"Operation of compressor",120,625
1261,"LP Gas","Gas oven",40,626
1261,Diesel,,15,627
12028,"paddy husk","For boiler",NULL,628
3428,No,,NULL,629
4599,Diesel,"For stand by operation",4.16,630
10472,Disel,,NULL,631
5025,Diesel,"For generator",NULL,632
5025,"Kerosene oil","Burn hospital waste",2.8,633
11935,Diesel,"power generation",75,634
6168,Diesel,"Standby generator",NULL,635
18621,,"For machinary use",20,636
1057,Diesel,"For generator",NULL,637
3543,No,,NULL,638
16989,"Diesel ","Operating Compressure ",20,639
4811,L.P.Gas,Heaters,72,640
5013,Diesel,"Operating standby generators, hot water boiler & incinerator",100,641
1280,"Petrol and Kerosene","Washing and cleaning",1.5,642
1002,"Petrol/ diesel",Transportation,20,643
1281,Diesel,"To generator",NULL,644
6336,diesel,"standby generator",NULL,645
4670,Diesel,"For generator",250,646
3587,kerosine,"cleaning parts",1,647
6339,diesel,"standby generator",NULL,648
4639,Petrol,"For vehicles",30,649
4639,Diesel,"For vehicles",50,650
